2498,GUMMI ASST,1,0.79,187.3
2651,SUGAR JELLIES,1,0.49,123.2
3001,SOUTHERN ROSE,1,0.99,56.3
3029,SATSUMA MANDARIN,1,0.99,101.5
3031,ORTANIQUES,1,0.99,56.3
3098,BOSTON RED,1,1.25,164.1
3107,CAL. NAVAL LG,1,0.79,187.3
3108,CAL. VALENTIA LG,0,0.99,104
3111,PAPAYA SUNRISE,1,0.89,35.4
3113,PEACHES SATURN,1,0.89,94.2
3115,PEACHES,1,0.99,101.5
3127,POMEGRANATE,1,2.09,145.5
3129,RED PUMMELO,1,1.49,176.5
3134,PIE PUMPKIN,1,0.99,101.5
3137,CHOCOLATE SAPOTE,1,1.35,187.7
3142,CARNIVAL,1,1.05,154.5
3144,TANGERINES,1,0.89,35.4
3160,GAI LAN,1,1.39,198.2
3277,BROCCOLINI,1,0.89,94.2
3278,PLUOTS,1,1.35,187.7
3279,KIWI GOLD,1,0.99,56.3
4011,BANANAS,1,1.45,145.2
4012,CAL. NAVAL XLG,1,1.19,135.5
4014,CAL. VALENCIA SM,0,3.99,53
4015,DELICIOUS RED REG,1,1.19,75.3
4016,DELICIOUS RED LG,1,1.29,45.6
4017,GRANNY SMITH LGE,1,1.49,176.5
4020,DELICIOUS GLDN LG,1,1.09,84.2
4021,DELICIOUS GDN REG,1,0.89,94.2
4022,GREEN SEEDLESS,1,1.35,187.7
4023,RED SEEDLESS,1,1.45,145.2
4025,ANJOU REGULAR,1,0.99,56.3
4028,PINT,1,1.19,135.5
4030,KIWI REGULAR,0,7.49,67
4031,WATERMELON SEEDED,1,0.89,35.4
4032,WATERMELON SEEDLESS,1,1.29,45.6
4034,HONEYDEW,1,0.79,187.3
4039,PLUMS BLACK,1,1.29,45.6
4041,PLUMS RED,1,1.05,154.5
4044,PEACHES TREE RIPE,1,1.09,84.2
4048,LIMES,1,1.25,164.1
4049,CANTALOPE,1,0.49,123.2
4051,MANGOS,1,0.99,101.5
4052,PAPAYA HAWAIIAN,1,1.19,75.3
4053,LEMONS,1,1.14,145.2
4056,BLACK SEEDLESS,1,1.05,154.5
4060,BROCCOLI,1,0.99,56.3
4061,HEAD LETTUCE,1,0.79,187.3
4062,CUCUMBERS,1,1.35,187.7
4065,GREEN,1,1.05,154.5
4066,BEANS GREEN,1,1.09,84.2
4067,ZUCCHINI,1,0.49,123.2
4068,GREEN BUNCH,1,0.89,35.4
4069,CABBAGE GREEN,1,1.19,75.3
4070,CELERY (EACH FULL),1,1.45,145.2
4073,RED,1,1.05,154.5
4075,LEAF LETTUCE RED,0,0.99,104
4076,LEAF LETTUCE GREEN,1,1.19,135.5
4078,CORN  SWEET(IN HUSK),1,2.09,145.5
4079,CAULIFLOWER,1,1.25,164.1
4080,ASPARAGUS GREEN,0,7.49,67
4081,EGGPLANT,1,0.49,123.2
4082,RED,0,7.49,67
4083,BAKERS,1,0.89,35.4
4084,ARTICHOKES,0,0.99,104
4085,MUSHROOMS WHITE,1,0.89,35.4
4087,PLUM,1,1.09,84.2
4089,RADISHES RED BUNCH,0,7.49,67
4090,SPINACH,1,0.79,187.3
4091,SWEET REGULAR,1,1.35,187.7
4092,SNOW PEAS,1,0.99,101.5
4093,SPANISH,1,0.99,56.3
4094,CARROTS BUNCH,1,1.05,154.5
4101,BRAEBURN REG,1,0.99,-21.5
4122,ROSE,1,1.19,135.5
4124,EMPIRE,1,1.14,145.2
4128,PINK LADY,0,0.99,104
4129,FUJI REG,1,1.05,154.5
4131,FUJI  X-LGE,1,1.25,164.1
4133,GALA REG,1,1.45,145.2
4135,GALA  LGE,1,1.35,187.7
4139,GRANNY SMITH REG,1,1.39,198.2
4147,JONAGOLD,1,2.09,145.5
4148,JONATHAN,1,0.49,123.2
4152,MCINTOSH REG,1,0.79,187.3
4159,VIDALIA,1,0.89,94.2
4160,PIPPEN,0,3.99,53
4163,WALLA WALLA,1,1.09,84.2
4165,SWEET,1,0.99,101.5
4167,DELICIOUS RED SM,1,0.89,35.4
4172,ROME,0,7.49,67
4221,AVOCADOS FLORIDA LITE,1,1.35,187.7
4225,AVOCADOS HASS LARGE,1,1.45,145.2
4233,NINOS,1,1.49,176.5
4235,PLATANOS,1,2.09,145.5
4236,RED,1,0.49,123.2
4249,FULL CASE,0,3.99,53
4252,HALF CASE,0,0.99,104
4254,HALLOWEEN CNDY CORN,1,1.19,135.5
4255,CACTUS PEARS,1,1.39,198.2
4256,STAR FRUIT,1,0.79,187.3
4257,CHERIMOYA,1,1.49,176.5
4261,COCONUTS,1,2.09,145.5
4263,DATES,1,0.49,123.2
4265,FEIJOAS,1,0.79,187.3
4266,FIGS,1,1.19,135.5
4270,BLACK SEEDED,1,1.25,164.1
4280,TEXAS RED,1,2.09,145.5
4281,FLORIDA RED LG,1,1.35,187.7
4284,FLORIDA RED SM,1,1.45,145.2
4293,FLORIDA WHITE,1,1.39,198.2
4299,GUAVA,0,0.99,104
4302,HORNED MELON,0,3.99,53
4305,KEY LIMES,1,1.05,154.5
4310,EPAZOTE,1,1.39,198.2
4312,MANGOS MANILLA,1,1.09,84.2
4313,MANGOS (CASE),1,0.89,94.2
4315,MANILA MANGO,1,0.49,123.2
4317,CANARY,0,0.99,104
4319,ATHENA,1,1.19,135.5
4320,CASABA,0,3.99,53
4322,CRENSHAW,0,7.49,67
4326,GALIA,1,0.99,56.3
4327,ORANGE HONEY DEW,1,0.99,101.5
4333,PEPINO,1,1.05,154.5
4334,PERSIAN,1,0.89,94.2
4336,SANTA CLAUS,1,1.09,84.2
4338,SHARLYN,1,1.19,75.3
4340,WATERMELON YELLOW,1,1.14,145.2
4342,SEEDED WATERMELON CUTS,1,1.05,154.5
4343,SEEDLESS WATERMELON CUTS,1,1.25,164.1
4383,MINNEOLAS,1,1.29,45.6
4386,TEMPLE,1,0.89,94.2
4388,FLORIDA JUICE,0,7.49,67
4395,PAPAYA MEXICAN,1,1.29,45.6
4397,PASSION FRUIT,1,1.14,145.2
4401,PEACHES WHITE FLESH,1,1.19,75.3
4407,APPLE PEAR,1,0.99,101.5
4409,BARTLETT,1,0.89,94.2
4410,RED,1,1.29,45.6
4413,BOSC,1,1.09,84.2
4414,COMICE,1,1.19,75.3
4416,ANJOU LARGE,0,7.49,67
4422,SECKEL,1,0.89,35.4
4427,PERSIMMONS HACHIYA,1,1.25,164.1
4428,PERSIMMONS FUYU,1,1.35,187.7
4430,PINEAPPLE DELMONTE GLD,1,1.45,145.2
4432,PINEAPPLE MEXICAN XLG,1,1.49,176.5
4433,PINEAPPLE MEXICAN SMALL,1,1.39,198.2
4434,PLUMS GREEN,1,0.89,35.4
4436,PLUMS PRUNE,1,1.14,145.2
4439,PLUMS TREE RIPE,1,1.25,164.1
4447,QUINCE,1,0.49,123.2
4448,TAMARINDO,0,0.99,104
4449,TANGERINES SUNBURST,1,1.14,144.2
4453,HONEY,1,1.19,75.3
4459,UNIQ FRUIT,1,1.09,84.2
4470,SPRING MIX SALAD,1,0.89,94.2
4471,SUGAR CANE,1,1.19,135.5
4472,NARANJA AGRIA,1,0.79,187.3
4489,BRACH PICK A MIX,1,1.35,187.7
